film_name;film_time_min;country;main_roles;genre;director;rating;url;film_year
Багровые реки;106;Франция;Жан Рено, Венсан Кассель;ужасы,триллер,криминал;Матьё Кассовиц;7.5;https://www.kinopoisk.ru//film/805/sr/1/;2000
Страна троллей (сериал);25;Германия;Трине Дюрхольм, Мортен Эйснер;мультфильм,фэнтези;Карстен Килерих;7.5;https://www.kinopoisk.ru//film/542225/sr/1/;2000
Люди Икс: Эволюция (сериал);22;США;Кирби Морроу, Венус Терцо;мультфильм,фантастика,фэнтези;Гари Грэхэм;7.4;https://www.kinopoisk.ru//film/94686/sr/1/;2000
Детки из класса 402 (сериал);22;Канада;Дэнис Касенга, Gabrielle Lazarovitz;мультфильм,комедия,семейный;Уэйд Коновальчук;7.4;https://www.kinopoisk.ru//film/431170/sr/1/;2000
О, где же ты, брат?;103;Великобритания;Джордж Клуни, Джон Туртурро;комедия,криминал,приключения;Джоэл Коэн;7.4;https://www.kinopoisk.ru//film/546/sr/1/;2000
Ю-571;116;США;Мэттью МакКонахи, Билл Пэкстон;боевик,военный;Джонатан Мостоу;7.4;https://www.kinopoisk.ru//film/865/sr/1/;2000
Страна тигров;101;США;Колин Фаррелл, Мэттью Дэвис;драма,военный;Джоэл Шумахер;7.4;https://www.kinopoisk.ru//film/859/sr/1/;2000
Пляж;119;США;Леонардо ДиКаприо, Виржини Ледуайен;триллер,драма,мелодрама;Дэнни Бойл;7.4;https://www.kinopoisk.ru//film/6871/sr/1/;2000
Люди в черном: Атака чужого (видео);4;США;Уилл Смит, Рип Торн;короткометражка,фантастика,боевик;Дэвид С. Кобб;7.4;https://www.kinopoisk.ru//film/7131/sr/1/;2000
Триумф;80;Россия;Петр Ульянов, Артур Смольянинов;драма,криминал;Олег Погодин;7.4;https://www.kinopoisk.ru//film/280166/sr/1/;2000
Осень в Нью-Йорке;103;США;Ричард Гир, Вайнона Райдер;драма,мелодрама;Джоан Чэнь;7.4;https://www.kinopoisk.ru//film/16953/sr/1/;2000
Потомки тьмы (сериал);25;Япония;Маюми Асано, Дэн Грин;аниме,мультфильм;Хироко Токита;7.4;https://www.kinopoisk.ru//film/408502/sr/1/;2000
Мечта;15;Швеция;Линда Сантьяго, Карл Тостеруд;короткометражка,драма;Йонас Окерлунд;7.4;https://www.kinopoisk.ru//film/182318/sr/1/;2000
Просветление гарантируется;109;Германия;Уве Оксенкнехт, Густав-Петер Вёлер;драма,комедия;Дорис Дёрри;7.4;https://www.kinopoisk.ru//film/12209/sr/1/;2000
Крадущийся тигр, затаившийся дракон;120;Тайвань;Чоу Юнь-Фат, Мишель Йео;фэнтези,боевик,мелодрама;Энг Ли;7.4;https://www.kinopoisk.ru//film/378/sr/1/;2000
Воспоминания о Шерлоке Холмсе (сериал);52;Россия;Василий Ливанов, Виталий Соломин;детектив;Игорь Масленников;7.4;https://www.kinopoisk.ru//film/456501/sr/1/;2000
Цена молока;87;Новая Зеландия;Даниэль Кормак, Карл Урбан;фэнтези,драма,мелодрама;Гарри Синклер;7.4;https://www.kinopoisk.ru//film/5902/sr/1/;2000
Идеальный шторм;130;США;Джордж Клуни, Марк Уолберг;боевик,триллер,драма;Вольфганг Петерсен;7.4;https://www.kinopoisk.ru//film/783/sr/1/;2000
Король танцует;115;Франция;Бенуа Мажимель, Борис Терраль;драма,история,музыка;Жерар Корбьо;7.3;https://www.kinopoisk.ru//film/23616/sr/1/;2000
Нежный возраст;116;Россия;Дмитрий Соловьев, Елена Камаева;драма;Сергей Соловьев;7.3;https://www.kinopoisk.ru//film/41561/sr/1/;2000
Убойная сила (сериал);50;Россия;Константин Хабенский, Андрей Федорцов;боевик,комедия,криминал;Евгений Аксенов;7.3;https://www.kinopoisk.ru//film/79923/sr/1/;2000
Бандитский Петербург: Барон (мини-сериал);53;Россия;Лев Борисов, Александр Домогаров;драма,криминал;Владимир Бортко;7.3;https://www.kinopoisk.ru//film/77381/sr/1/;2000
Империя под ударом (сериал);624;Россия;Игорь Ливанов, Марина Александрова;триллер;Андрей Малюков;7.3;https://www.kinopoisk.ru//film/178563/sr/1/;2000
Титан: После гибели Земли;94;США;Дрю Бэрримор, Джим Брюэр;мультфильм,фантастика,боевик;Дон Блут;7.3;https://www.kinopoisk.ru//film/862/sr/1/;2000
Клаус – водитель погрузчика;10;Германия;Константин Граудус, Густав Адольф Арц;короткометражка,ужасы,боевик;Штефан Прен;7.3;https://www.kinopoisk.ru//film/40280/sr/1/;2000
Чудаки (сериал);22;США;Джонни Ноксвил, Крис Понтиус;реальноеТВ,боевик,комедия;Джефф Треймейн;7.3;https://www.kinopoisk.ru//film/207010/sr/1/;2000
Девять королев;114;Аргентина;Гастон Паульс, Рикардо Дарин;триллер,драма,криминал;Фабиан Бьелински;7.3;https://www.kinopoisk.ru//film/767/sr/1/;2000
Мой брат Том;105;Великобритания;Дженна Харрисон, Бен Уишоу;драма;Дом Розероу;7.3;https://www.kinopoisk.ru//film/50320/sr/1/;2000
Коломбо: Убийство по нотам (ТВ);120;США;Питер Фальк, Билли Коннолли;триллер,драма,криминал;Патрик МакГуэн;7.3;https://www.kinopoisk.ru//film/229095/sr/1/;2000
Ландыш серебристый;88;Россия;Александр Цекало, Юрий Стоянов;мюзикл,мелодрама,комедия;Тигран Кеосаян;7.3;https://www.kinopoisk.ru//film/41283/sr/1/;2000
Бэтмен будущего: Возвращение Джокера (видео);76;США;Уилл Фридел, Кевин Конрой;мультфильм,фантастика,боевик;Курт Геда;7.3;https://www.kinopoisk.ru//film/229306/sr/1/;2000
Непокоренный;104;Украина;Григорий Гладий, Виктория Малекторович;драма,военный;Олесь Янчук;7.3;https://www.kinopoisk.ru//film/25090/sr/1/;2000
Ослепленный желаниями;93;США;Брендан Фрейзер, Элизабет Хёрли;фэнтези,комедия;Харольд Рэмис;7.3;https://www.kinopoisk.ru//film/12330/sr/1/;2000
Ватель;103;Франция;Жерар Депардье, Ума Турман;драма,мелодрама,биография;Роланд Жоффе;7.3;https://www.kinopoisk.ru//film/6770/sr/1/;2000
Английский цирюльник;94;США;Алан Рикман, Наташа Ричардсон;драма,мелодрама,комедия;Пэдди Бретнэк;7.2;https://www.kinopoisk.ru//film/6610/sr/1/;2000
Дансер;89;Франция;Федор Аткин, Родни Истман;драма;Фредерик Гарсон;7.2;https://www.kinopoisk.ru//film/14348/sr/1/;2000
Пари Матч (ТВ);100;США;Жаклин Биссет, Линда Хэмилтон;драма,комедия;Артур Аллан Сейдельман;7.2;https://www.kinopoisk.ru//film/102772/sr/1/;2000
Полено;132;Чехия;Вероника Жилкова, Ян Гартль;ужасы,фэнтези,триллер;Ян Шванкмайер;7.2;https://www.kinopoisk.ru//film/49978/sr/1/;2000
Я, снова я и Ирэн;116;США;Джим Керри, Рене Зеллвегер;комедия,криминал,приключения;Бобби Фаррелли;7.2;https://www.kinopoisk.ru//film/4619/sr/1/;2000
Харви Бердмэн, адвокат (сериал);11;США;Гэри Коул, Стивен Колбер;мультфильм,фантастика,комедия;Ричард Фергюсон-Халл;7.2;https://www.kinopoisk.ru//film/395099/sr/1/;2000
Тайны следствия (сериал);45;Россия;Анна Ковальчук, Вячеслав Захаров;драма,криминал,детектив;Александр Бурцев;7.2;https://www.kinopoisk.ru//film/94106/sr/1/;2000
Приключения в Изумрудном городе: Козни старой Момби (ТВ);26;Россия;Юлия Бочанова, Эра Зиганшина;мультфильм,короткометражка,фэнтези;Илья Максимов;7.2;https://www.kinopoisk.ru//film/629889/sr/1/;2000
Молодые американцы (сериал);43;США;Кейт Босворт, Марк Фамильетти;драма;Джеймс Уитмор мл.;7.2;https://www.kinopoisk.ru//film/404017/sr/1/;2000
Вдова с острова Сен-Пьер;112;Франция;Жюльет Бинош, Даниель Отой;драма,мелодрама,история;Патрис Леконт;7.2;https://www.kinopoisk.ru//film/871/sr/1/;2000
Пацаны не плачут;93;Польша;Мачей Штур, Цезары Пазура;комедия,криминал;Оляф Любашенко;7.2;https://www.kinopoisk.ru//film/49106/sr/1/;2000
Ангелы вселенной;100;Исландия;Ингвар Эггерт Сигюрдссон, Бальтасар Кормакур;драма,биография;Фридрик Тоур Фридрикссон;7.2;https://www.kinopoisk.ru//film/23544/sr/1/;2000
Тоже;111;Корея Южная;Ю Джи-тхэ, Ким Ха-ныль;мелодрама,фантастика;Ким Джон-гвон;7.2;https://www.kinopoisk.ru//film/65869/sr/1/;2000
Обитель радости;135;Великобритания;Джиллиан Андерсон, Дэн Эйкройд;драма,мелодрама;Теренс Дэвис;7.2;https://www.kinopoisk.ru//film/703/sr/1/;2000
Умерь свой энтузиазм (сериал);28;США;Ларри Дэвид, Джефф Гарлин;комедия;Роберт Б. Уайди;7.2;https://www.kinopoisk.ru//film/277559/sr/1/;2000
Свадьба;110;Франция;Марат Башаров, Мария Миронова;драма,комедия;Павел Лунгин;7.2;https://www.kinopoisk.ru//film/41101/sr/1/;2000
Траффик;147;США;Майкл Дуглас, Бенисио Дель Торо;триллер,драма,криминал;Стивен Содерберг;7.2;https://www.kinopoisk.ru//film/499/sr/1/;2000
Счастливые случаи;110;США;Мариса Томей, Винсент Д’Онофрио;мелодрама,комедия;Брэд Андерсон;7.2;https://www.kinopoisk.ru//film/1084/sr/1/;2000
Жизнь как смертельная болезнь, передающаяся половым путем;99;Польша;Збигнев Запасевич, Кристина Янда;драма;Кшиштоф Занусси;7.2;https://www.kinopoisk.ru//film/64082/sr/1/;2000
